feature,importance
P_2_last,0.12281499
B_1_last,0.046608057
B_9_last,0.015072268
D_45_sum,0.010199534
B_2_last,0.008621021
R_1_last,0.007588249
B_2_sum,0.0072032195
D_44_mean,0.0069046887
D_43_sum,0.0068060984
S_3_mean,0.0061511006
D_42_min,0.0059132366
R_2_last,0.0054301107
D_44_last,0.00537273
B_18_sum,0.0050777895
R_1_mean,0.0048207347
D_42_mean,0.0047512194
D_41_last,0.00453532
D_50_sum,0.0043535633
D_42_max,0.004100355
B_11_last,0.003897362
R_3_mean,0.003865122
P_3_mean,0.0037759752
S_8_mean,0.0037036736
D_45_max,0.0036608707
D_51_sum,0.0036374128
D_39_last,0.003445966
D_49_sum,0.0034020913
D_43_mean,0.0032045597
D_132_max,0.0028395592
D_49_min,0.0027753997
S_23_last,0.0027333933
R_27_min,0.0026602542
B_3_last,0.002634448
B_7_last,0.0024711106
B_5_mean,0.0024430358
D_46_last,0.0024168456
D_62_min,0.002409433
B_3_max,0.0023954639
S_3_last,0.002346596
B_4_last,0.002328843
R_3_last,0.0022779605
D_49_last,0.0022757654
S_15_mean,0.0022511224
D_42_last,0.0022486257
D_43_last,0.0020778992
D_50_max,0.0020481972
B_23_last,0.0020389275
S_3_max,0.002035229
D_46_mean,0.001969407
D_51_mean,0.0019500443
R_11_mean,0.0019412457
D_66_nan_mean,0.0019288479
B_22_last,0.0019256767
B_8_mean,0.0019158078
R_27_sum,0.0018777301
B_37_last,0.0018345804
S_25_sum,0.0018164396
P_3_last,0.0018096876
P_2_mean,0.0017873083
D_64_O_sum,0.0017607573
B_10_sum,0.0017365089
B_5_min,0.0017222551
B_39_last,0.0017138859
D_65_sum,0.0017122809
B_29_mean,0.0016878698
S_8_max,0.0016507298
D_48_mean,0.0016488087
D_49_max,0.0016075629
D_106_mean,0.0015893265
D_112_last,0.0015859441
D_56_sum,0.0015798457
D_44_max,0.0015693624
B_16_last,0.0015662712
D_48_last,0.0015624765
S_23_max,0.0015548422
D_118_min,0.001541752
D_76_max,0.0015309616
S_11_sum,0.001529325
B_5_last,0.0015107399
S_3_min,0.0015014358
B_41_max,0.0014928747
D_56_max,0.0014762719
B_39_max,0.0014593172
D_131_last,0.0014591351
D_138_max,0.0014441496
B_14_max,0.0014420146
D_39_max,0.0014418937
D_94_sum,0.0014343581
D_133_sum,0.0014054572
S_26_max,0.0014054041
B_41_sum,0.0014046328
D_132_last,0.0014042176
D_50_last,0.0013994619
B_28_mean,0.0013944625
B_18_max,0.0013889243
D_82_mean,0.0013887971
B_29_last,0.001378851
D_135_last,0.0013772338
B_29_sum,0.0013601654
B_22_sum,0.0013599241
D_50_mean,0.0013574101
D_48_sum,0.0013566873
D_55_sum,0.0013556136
D_72_sum,0.0013447754
D_41_max,0.0013250438
D_117_1.0_mean,0.0013228358
S_5_max,0.0013202218
B_14_last,0.0013172766
B_16_min,0.0013083677
B_20_max,0.0012985638
B_38_2.0_sum,0.0012883503
D_65_last,0.0012810252
B_2_min,0.0012749004
D_139_sum,0.0012665744
B_40_min,0.0012540144
D_64_O_mean,0.0012397893
B_39_min,0.0012317087
B_29_max,0.0012290676
R_9_sum,0.0012282474
B_11_max,0.0012212284
D_64_R_sum,0.0012202953
D_136_mean,0.001211213
B_26_last,0.0012085548
D_53_min,0.0012006656
S_24_mean,0.0011911304
B_14_sum,0.0011847403
B_37_max,0.0011843329
D_53_last,0.0011826985
D_122_sum,0.0011752831
D_118_max,0.0011615936
R_16_mean,0.0011565973
D_59_max,0.0011565958
B_37_mean,0.0011551017
R_1_max,0.0011548719
D_138_mean,0.0011539559
B_28_last,0.0011530153
S_9_min,0.0011520019
D_43_max,0.001147817
D_82_max,0.001146105
B_38_3.0_mean,0.0011423252
B_24_sum,0.0011416192
S_17_sum,0.0011401001
R_2_sum,0.001137007
B_4_max,0.0011325025
S_8_last,0.0011324097
B_17_last,0.001131043
R_11_max,0.0011309288
B_22_mean,0.0011266223
D_121_mean,0.0011264364
P_3_max,0.0011250534
S_9_mean,0.001124591
D_137_last,0.0011240854
S_11_max,0.0011228282
B_6_sum,0.0011194485
B_1_mean,0.0011155588
P_4_sum,0.0011140987
R_5_last,0.0011064674
R_7_last,0.001094656
D_47_max,0.0010921003
D_61_mean,0.0010916999
D_65_mean,0.0010903185
D_50_min,0.0010899643
D_52_last,0.0010882703
B_5_sum,0.0010872867
D_131_min,0.001085713
D_47_sum,0.0010805936
B_13_mean,0.0010775262
D_75_last,0.0010711544
D_77_last,0.0010682172
D_47_mean,0.0010681738
R_4_mean,0.0010678385
D_121_last,0.0010641011
P_3_min,0.0010596175
D_71_last,0.0010583622
D_74_max,0.0010577474
D_68_3.0_sum,0.0010552009
D_104_min,0.001049511
D_80_mean,0.0010462635
D_131_max,0.00104552
S_3_sum,0.0010441509
B_8_sum,0.0010426947
B_20_mean,0.0010408215
D_124_min,0.0010327803
R_1_sum,0.0010325636
B_4_sum,0.0010324536
D_113_mean,0.0010293338
S_19_sum,0.0010219152
D_59_last,0.0010214263
D_144_mean,0.0010193476
D_102_min,0.0010179027
D_41_min,0.0010166332
S_11_mean,0.0010162534
P_4_mean,0.0010141818
D_71_mean,0.0010117543
R_21_sum,0.001005005
S_19_mean,0.001004846
B_27_min,0.0009996383
D_103_sum,0.0009981312
D_46_sum,0.0009971852
S_12_max,0.0009941547
D_122_last,0.000994084
D_106_max,0.0009911575
R_27_max,0.000989083
S_16_sum,0.0009886309
B_10_max,0.0009853041
B_37_sum,0.0009843733
B_14_mean,0.0009819155
S_5_last,0.0009817758
S_24_last,0.0009815668
S_9_max,0.0009810239
S_11_min,0.0009801793
D_104_sum,0.0009789475
D_124_last,0.00097618176
R_5_max,0.0009737936
D_122_max,0.0009729375
D_46_max,0.0009723703
D_92_sum,0.0009717559
B_36_last,0.00097154436
S_22_sum,0.0009706119
S_26_sum,0.0009679159
D_112_mean,0.00096696813
D_123_mean,0.0009667706
S_12_mean,0.0009658713
B_2_mean,0.0009630256
D_129_last,0.0009622478
D_84_last,0.00095834775
D_70_mean,0.0009575046
B_40_mean,0.00095595256
D_124_max,0.0009531385
R_15_max,0.00095258886
B_28_min,0.000952429
S_11_last,0.0009522906
D_135_sum,0.00094934856
R_21_min,0.00094850385
S_25_last,0.0009473442
D_74_min,0.0009468726
S_20_sum,0.000946454
D_86_mean,0.0009451521
B_7_max,0.0009434172
S_7_last,0.0009418782
R_2_min,0.0009405215
D_123_sum,0.00094011775
D_121_sum,0.0009390995
D_69_sum,0.00093872007
R_15_sum,0.0009357395
D_44_sum,0.0009355428
D_48_min,0.0009353001
D_56_min,0.0009348548
B_40_max,0.00093400304
R_14_sum,0.00093083375
D_128_max,0.0009300258
R_28_max,0.00092875643
D_124_sum,0.00092865835
D_117_3.0_mean,0.0009283398
R_26_last,0.0009264946
D_76_mean,0.00092645746
B_38_7.0_mean,0.0009223616
B_1_max,0.0009203881
S_7_mean,0.0009203824
D_79_mean,0.00091818196
D_55_min,0.0009178588
R_23_sum,0.0009177794
D_47_last,0.00091629307
D_135_min,0.0009159021
D_110_mean,0.0009142863
D_122_mean,0.0009135661
D_96_mean,0.00091336237
